ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
6.41149	7.82222	30.2826	10.7727	
15.7149	6	26.8587	3.87879	
22.5563	0.355556	49.4058	13.0303	
9.30805	3.17778	16.9674	10.0303	
9.16092	1.28889	30.0507	9.89394	
16.154	9.6	35.2826	6.48485	
11.6828	2.31111	26.5399	5.5303	
6.74713	5.02222	48.5507	11.5758	
6.33333	4.33333	26.942	7.15152	
9.14253	4.33333	44.7283	8.90909	
11.4138	1.71111	41.3406	5.54545	
5.06207	2.31111	35.0942	8.69697	
4.23678	5.84444	29.8514	8.01515	
9.81379	7.24444	21.6775	10.0758	
5.74713	7.4	42.7826	4.80303	
17.3862	1.88889	37.6993	3.60606	
18.3862	3.53333	19.6268	12.2576	
10.0506	0.488889	46.9964	7.5303	
13.2713	0.8	42.4493	3.36364	
11.023	4.8	17.3261	5.31818	
13.9448	2.4	20.4275	8.48485	
10.9885	2.08889	35.7101	7.62121	
15.1586	3	20.0725	8.31818	
9.25977	1.2	36.7283	4.72727	
3.56092	7.28889	19.5652	9.15152	
16.9057	4.46667	23.692	7.54545	
